iter	Logloss
0	0.6880209165
1	0.6831630667
2	0.6794043569
3	0.6751589104
4	0.6705780519
5	0.6665000812
6	0.6623464634
7	0.6590882334
8	0.6551730671
9	0.6515078381
10	0.6479732154
11	0.6442693393
12	0.6410114085
13	0.6379650725
14	0.6348753925
15	0.631271345
16	0.6273318988
17	0.6240442222
18	0.6213104296
19	0.6182580638
20	0.6149308197
21	0.6120672899
22	0.6084952317
23	0.6056569714
24	0.6028598562
25	0.5997326033
26	0.5968512353
27	0.5937034918
28	0.590910736
29	0.5884334906
30	0.5857829811
31	0.5832697822
32	0.5801974216
33	0.5774630397
34	0.5750276547
35	0.572605086
36	0.5704975162
37	0.567968462
38	0.565407552
39	0.5632965762
40	0.5603466482
41	0.5583663785
42	0.5563299204
43	0.5538295973
44	0.5520614587
45	0.5504626945
46	0.5484631708
47	0.5464481335
48	0.544375452
49	0.5420209195
50	0.5402223669
51	0.5384108274
52	0.5369373063
53	0.5346899144
54	0.5325074722
55	0.5307510752
56	0.529061015
57	0.5271907651
58	0.5254213945
59	0.5238171065
60	0.5218766114
61	0.5204423111
62	0.5191396688
63	0.5180483096
64	0.5168004015
65	0.515237335
66	0.5135063184
67	0.5119186593
68	0.5103536166
69	0.508558899
70	0.5070212192
71	0.5055287222
72	0.5041137886
73	0.5028422852
74	0.5016935413
75	0.5002929866
76	0.4989055284
77	0.4976675514
78	0.4966773064
79	0.4954265862
80	0.4941134596
81	0.4929473325
82	0.4915088998
83	0.49037509
84	0.4891581984
85	0.4879416135
86	0.4868082318
87	0.4853853738
88	0.4842496377
89	0.4828753113
90	0.4821818936
91	0.480901204
92	0.4798437308
93	0.4791932296
94	0.4782892578
95	0.4774909573
96	0.4767730084
97	0.4757061678
98	0.4746553411
99	0.4738751157
100	0.4731146154
101	0.472033867
102	0.4711119231
103	0.4701330937
104	0.4691962777
105	0.4685039478
106	0.4678582301
107	0.4673201771
108	0.4663676696
109	0.4655919612
110	0.4647042228
111	0.4637959614
112	0.462751995
113	0.4617240383
114	0.4612854378
115	0.4605927727
